message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,notify,business_update,Similar messages previously received quick engagement from this user.,0.84,message_0243;message_0263;message_0275
msg_091,mute,scam,The message requests a sensitive code or account detail under suspicious pressure.,0.95,message_0238;message_0381
msg_090,digest,personal,Safe content with no immediate action can be reviewed later.,0.72,none
msg_048,mute,scam,The message applies urgent QR-payment pressure without a safe verified flow.,0.91,message_0151;message_0152;message_0237
msg_040,mute,greeting,Repeated forwarded social content is low-value for this user.,0.86,message_0136;message_0135
msg_075,notify,business_update,A legitimate update matches the user's active transaction or booking.,0.88,message_0206;message_0205
msg_005,notify,urgent,"A direct, time-sensitive dependency requires prompt attention.",0.88,message_0065;message_0049;message_0066
msg_104,notify,urgent,"A direct, time-sensitive dependency requires prompt attention.",0.88,message_0224;message_0383;message_0050
msg_069,mute,greeting,Repeated forwarded social content is low-value for this user.,0.86,message_0042;message_0193;message_0177
msg_107,mute,scam,The message tries to manipulate routing and requests sensitive verification.,0.96,message_0213;message_0056;message_0195
msg_070,mute,scam,The message requests a sensitive code or account detail under suspicious pressure.,0.95,message_0369;message_0213;message_0195
msg_003,notify,business_update,A legitimate update matches the user's active transaction or booking.,0.88,message_0031;message_0400;message_0239
msg_099,digest,personal,Similar useful messages were opened later without urgent engagement.,0.74,message_0227;message_0249;message_0055
msg_008,notify,urgent,"A direct, time-sensitive dependency requires prompt attention.",0.88,message_0296;message_0072;message_0071
msg_092,digest,business_update,Safe content with no immediate action can be reviewed later.,0.72,none
msg_060,notify,urgent,"A direct, time-sensitive dependency requires prompt attention.",0.88,message_0284;message_0176;message_0404
msg_004,notify,event,Similar messages previously received quick engagement from this user.,0.84,message_0245;message_0005;message_0246
msg_030,mute,promotion,Similar messages were previously dismissed or suppressed by this user.,0.81,message_0115;message_0335;message_0113
msg_045,notify,unknown,Similar messages previously received quick engagement from this user.,0.69,message_0146;message_0145
msg_052,mute,scam,The sender identity or domain is inconsistent with the pressured financial request.,0.93,message_0207;message_0208;message_0159
msg_009,digest,unknown,Similar useful messages were opened later without urgent engagement.,0.77,message_0074;message_0073;message_0192
msg_071,digest,unknown,Similar useful messages were opened later without urgent engagement.,0.69,message_0197;message_0198
msg_016,mute,unknown,Similar messages were previously dismissed or suppressed by this user.,0.74,message_0024;message_0087;message_0183
msg_065,digest,promotion,Similar useful messages were opened later without urgent engagement.,0.84,message_0261;message_0260;message_0351
msg_038,mute,forward,Repeated forwarded social content is low-value for this user.,0.86,message_0131;message_0132
msg_086,digest,business_update,Media extraction is uncertain; contextual history supports this conservative route.,0.69,none
msg_014,mute,promotion,The user opted out of or repeatedly dismissed similar marketing.,0.88,message_0017;message_0258;message_0018
msg_094,digest,promotion,The legitimate offer can be reviewed later.,0.79,message_0356
msg_029,mute,forward,Repeated forwarded social content is low-value for this user.,0.86,message_0113;message_0095;message_0332
msg_105,mute,forward,Repeated forwarded social content is low-value for this user.,0.86,message_0233;message_0373
msg_002,notify,event,Similar messages previously received quick engagement from this user.,0.72,message_0003;message_0266;message_0169
msg_010,digest,payment,Similar useful messages were opened later without urgent engagement.,0.84,message_0011;message_0242;message_0311
msg_078,mute,scam,The message requests a sensitive code or account detail under suspicious pressure.,0.95,message_0211;message_0212
msg_013,notify,urgent,"A direct, time-sensitive dependency requires prompt attention.",0.88,message_0114;message_0116;message_0081
msg_018,mute,forward,Repeated forwarded social content is low-value for this user.,0.86,message_0026;message_0091;message_0092
msg_044,mute,scam,The message requests a sensitive code or account detail under suspicious pressure.,0.95,message_0143;message_0144;message_0036
msg_032,digest,unknown,Similar useful messages were opened later without urgent engagement.,0.76,message_0119;message_0285;message_0120
msg_106,notify,personal,Similar messages previously received quick engagement from this user.,0.76,message_0234;message_0376;message_0377
msg_006,notify,urgent,"A direct, time-sensitive dependency requires prompt attention.",0.88,message_0067;message_0097;message_0029
msg_109,notify,urgent,"A direct, time-sensitive dependency requires prompt attention.",0.88,message_0151;message_0152;message_0237
msg_108,mute,scam,The message requests a sensitive code or account detail under suspicious pressure.,0.95,message_0094;message_0093
msg_019,mute,business_update,Similar messages were previously dismissed or suppressed by this user.,0.84,message_0277;message_0094;message_0093
msg_088,mute,unknown,Media extraction is uncertain; contextual history supports this conservative route.,0.68,message_0115;message_0050;message_0224
msg_056,notify,event,Similar messages previously received quick engagement from this user.,0.69,message_0167;message_0168;message_0359
msg_027,digest,event,Similar useful messages were opened later without urgent engagement.,0.84,message_0272;message_0033;message_0007
msg_050,notify,event,Similar messages previously received quick engagement from this user.,0.84,message_0279;message_0278;message_0246
msg_083,digest,unknown,Media extraction is uncertain; contextual history supports this conservative route.,0.68,message_0219
msg_063,mute,payment,Similar messages were previously dismissed or suppressed by this user.,0.68,message_0182;message_0181
msg_033,digest,greeting,Similar useful messages were opened later without urgent engagement.,0.7,message_0121;message_0122;message_0372
msg_061,mute,greeting,Repeated forwarded social content is low-value for this user.,0.86,message_0042;message_0193;message_0177
msg_020,mute,unknown,Similar messages were previously dismissed or suppressed by this user.,0.68,message_0096;message_0095;message_0114
msg_017,mute,unknown,Similar messages were previously dismissed or suppressed by this user.,0.68,message_0089;message_0090
