message_id,user_id,conversation_type,group_id,business_id,sender_user_id,created_at,message_text,media_type,media_id,forwarded_count,normalized_text,message_opened,message_replied,reaction_time_minutes,notification_dismissed,muted_after_message,message_reported,weak_action,template,do_not_disturb_window,user_opened_30d,user_replied_30d,user_dismissed_30d,user_reported_30d,group_type,role,joined_at,messages_sent_30d_x,group_messages_read,group_replies_sent,notifications_dismissed_30d,group_muted_by_user,display_name,brand_name,business_category,business_verified,official_domain,domain_used_by_sender,business_account_age_days,messages_sent_30d_y,business_reports_30d,domain_used_by_sender_age_days,why_user_knows_account,last_activity_at,allows_promotions,promotions_opted_out_at,business_activity_count,messages_opened_30d,business_messages_dismissed,messages_replied_30d,last_reply_at,has_business_relationship,load_notifications_sent,load_notifications_dismissed,leakage_group
message_0107,u_008,business,,business_036,,2026-05-23 17:46,Delivery failed. Pay small reattempt fee at amazonpay-delivery.in and enter OTP to release package.,,,0,delivery failed. pay small reattempt fee at amazonpay-delivery.in and enter otp to release package.,0,0,,1,1,1,mute,delivery failed pay small reattempt fee at amazonpay delivery in and enter otp to release package,23:30-07:30,94,29,49,1,,,,,,,,,Amazon Delivery Support,Amazon India,ecommerce_delivery,0,amazon.in,amazonpay-delivery.in,23,702,47,2,,,,,,,,,,,6.571428571428571,2.857142857142857,leak-eb14b69f301b0bf2
message_0029,u_011,group,group_002,,u_043,2026-05-26 17:57,Admin reminder: maintenance only through app/office QR by 5 PM. Receipts reconciled after 7.,,,0,admin reminder: maintenance only through app/office qr by 5 pm. receipts reconciled after 7.,1,1,2,0,0,0,notify,admin reminder maintenance only through app office qr by <num> pm receipts reconciled after <num>,21:30-06:30,92,28,18,1,society,admin,2023-01-05,15,15,7,2,0,,,,,,,,,,,,,,,,,,,,,8.5,1.2857142857142858,leak-195cbdba6e3a0059
message_0231,u_032,personal,,,u_048,2026-06-08 07:08,"Hi, the kurta set is still available. I can keep it till evening if you want to pick it up.",,,0,"hi, the kurta set is still available. i can keep it till evening if you want to pick it up.",1,1,2,0,0,0,notify,hi the kurta set is still available i can keep it till evening if you want to pick it up,23:00-07:00,70,17,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.9285714285714286,leak-b3819f0db1bf45ec
message_0080,u_003,group,group_016,,u_051,2026-03-18 17:03,Good morning. Stay positive and send this to ten people you care about.,,,12,good morning. stay positive and send this to ten people you care about.,0,0,,1,1,0,mute,good morning stay positive and send this to ten people you care about,21:30-07:30,59,14,24,1,dance_class,member,2024-12-07,15,15,4,2,0,,,,,,,,,,,,,,,,,,,,,5.642857142857143,1.7142857142857142,leak-115d07b2593be476
message_0028,u_001,business,,business_036,,2026-05-16 12:52,"Delivery attempt could not be completed.

A reattempt charge is pending for your parcel. Please complete verification at amazonpay-delivery.in before the package is returned tonight.

Tap below to continue.

Reply STOP to opt out.",,,0,delivery attempt could not be completed. a reattempt charge is pending for your parcel. please complete verification at amazonpay-delivery.in before the package is returned tonight. tap below to continue. reply stop to opt out.,0,0,,1,1,1,mute,delivery attempt could not be completed a reattempt charge is pending for your parcel please complete verification at amazonpay delivery in before the package is returned tonight tap below to continue reply stop to opt out,22:00-07:00,45,8,14,2,,,,,,,,,Amazon Delivery Support,Amazon India,ecommerce_delivery,0,amazon.in,amazonpay-delivery.in,23,702,47,2,,,,,,,,,,,4.357142857142857,1.0,leak-0797d7a80ca9a2f6
message_0175,u_016,group,group_012,,u_045,2026-03-14 12:31,Route B bus is leaving 15 minutes early today because the main signal road is blocked.,,,0,route b bus is leaving 15 minutes early today because the main signal road is blocked.,1,1,2,0,0,0,notify,route b bus is leaving <num> minutes early today because the main signal road is blocked,22:00-07:00,86,25,37,2,college_faculty,member,2025-04-15,12,15,7,2,0,,,,,,,,,,,,,,,,,,,,,5.714285714285714,1.9285714285714286,leak-c546f27067a01e64
message_0129,u_011,group,group_002,,u_043,2026-06-08 07:57,Tower B water pressure will be low from 5:30 to 7 PM because the plumber is changing the pump-room valve.,,,0,tower b water pressure will be low from 5:30 to 7 pm because the plumber is changing the pump-room valve.,1,1,2,0,0,0,notify,tower b water pressure will be low from <num> to <num> pm because the plumber is changing the pump room valve,21:30-06:30,92,28,18,1,society,admin,2023-01-05,15,15,7,2,0,,,,,,,,,,,,,,,,,,,,,8.5,1.2857142857142858,leak-dc36d233cf3405e9
message_0253,u_005,group,group_021,,u_054,2026-06-24 12:17,"Long read for weekend: AI infra names are expensive, but earnings revision is still positive. Sharing the research PDF here, no buy call.",,,2,"long read for weekend: ai infra names are expensive, but earnings revision is still positive. sharing the research pdf here, no buy call.",1,0,120,0,0,0,digest,long read for weekend ai infra names are expensive but earnings revision is still positive sharing the research pdf here no buy call,22:30-07:00,73,20,34,0,investment_tips,admin,2024-10-05,13,13,6,1,0,,,,,,,,,,,,,,,,,,,,,6.428571428571429,2.4285714285714284,leak-95d59da30b024726
message_0166,u_037,group,group_008,,u_041,2026-05-01 12:39,Clinic timing may change. Keep your phone nearby in case I need to decide quickly.,,,0,clinic timing may change. keep your phone nearby in case i need to decide quickly.,1,1,2,0,0,0,notify,clinic timing may change keep your phone nearby in case i need to decide quickly,21:00-06:30,41,32,38,4,extended_family,member,2023-02-07,11,11,5,6,0,,,,,,,,,,,,,,,,,,,,,3.642857142857143,2.642857142857143,leak-48fce742f0bad664
message_0220,u_040,business,,business_002,,2026-03-23 12:03,"Hi, this is regarding an HDFC Bank personal loan offer. Your eligible interest rate has been revised, and you can request a callback if interested.",,,0,"hi, this is regarding an hdfc bank personal loan offer. your eligible interest rate has been revised, and you can request a callback if interested.",0,0,,1,1,0,mute,hi this is regarding an hdfc bank personal loan offer your eligible interest rate has been revised and you can request a callback if interested,00:00-07:00,17,2,81,4,,,,,,,,,HDFC Bank,HDFC Bank,bank,1,hdfc.bank.in,hdfc.bank.in,974,1286,4,758,loan_promotions_opted_out,2026-06-28 12:15,0,2026-07-17 23:55,3,0,8,0,,1,10.928571428571429,5.357142857142857,leak-878204f177a94e49
message_0333,u_032,business,,business_011,,2026-07-11 07:17,"You just dropped something...

A limited shopping benefit is available on items you recently viewed.

Check the details in the app before the offer expires.

Reply STOP to unsubscribe",,,0,you just dropped something... a limited shopping benefit is available on items you recently viewed. check the details in the app before the offer expires. reply stop to unsubscribe,1,0,120,0,0,0,digest,you just dropped something a limited shopping benefit is available on items you recently viewed check the details in the app before the offer expires reply stop to unsubscribe,23:00-07:00,70,17,13,4,,,,,,,,,Myntra,Myntra,fashion,1,myntra.com,myntra.com,1307,1673,4,1019,marketplace_style_interest,2026-03-03 16:25,0,,6,2,0,0,,1,7.0,0.9285714285714286,leak-d6ab8ac9f272ff06
message_0213,u_009,group,group_005,,u_050,2026-07-02 07:17,"Wallet KYC incomplete. Open link and confirm card number, PIN and OTP to continue payments.",,,0,"wallet kyc incomplete. open link and confirm card number, pin and otp to continue payments.",1,0,9,0,0,0,digest,wallet kyc incomplete open link and confirm card number pin and otp to continue payments,22:00-08:30,118,41,12,0,marketplace,member,2026-03-26,8,8,1,2,0,,,,,,,,,,,,,,,,,,,,,9.357142857142858,0.8571428571428571,leak-107a6a691b32ba40
message_0223,u_040,group,group_022,,u_052,2026-04-22 12:17,New land parcel near the highway is available for early buyers. Token booking closes tonight; DM for location and launch price.,,,0,new land parcel near the highway is available for early buyers. token booking closes tonight; dm for location and launch price.,0,0,,1,1,0,mute,new land parcel near the highway is available for early buyers token booking closes tonight dm for location and launch price,00:00-07:00,17,2,81,4,real_estate,member,2025-03-20,0,0,0,9,1,,,,,,,,,,,,,,,,,,,,,10.928571428571429,5.357142857142857,leak-4b0b7478089d4d40
message_0057,u_001,group,group_002,,u_043,2026-07-08 07:46,Tower B water pressure will be low from 5:30 to 7 PM because the plumber is changing the pump-room valve.,,,0,tower b water pressure will be low from 5:30 to 7 pm because the plumber is changing the pump-room valve.,1,1,2,0,0,0,notify,tower b water pressure will be low from <num> to <num> pm because the plumber is changing the pump room valve,22:00-07:00,45,8,14,2,society,member,2024-10-23,2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,4.357142857142857,1.0,leak-7b6e90c4690d17ab
message_0393,u_014,personal,,,u_041,2026-03-16 07:17,,voice,vn_015,0,,1,1,2,0,0,0,notify,,21:30-06:30,72,19,27,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.571428571428571,1.9285714285714286,leak-4fba933e1af75844
message_0218,u_028,group,group_004,,u_046,2026-04-05 17:52,"Checkout errors are spiking again. Please join the incident bridge now, payments are failing for live users.",,,0,"checkout errors are spiking again. please join the incident bridge now, payments are failing for live users.",1,1,2,0,0,0,notify,checkout errors are spiking again please join the incident bridge now payments are failing for live users,23:30-07:30,42,5,45,1,coworker,member,2025-02-08,12,12,1,0,0,,,,,,,,,,,,,,,,,,,,,9.0,2.5,leak-fd5a2ce96e4b6cb5
message_0359,u_001,personal,,,u_041,2026-04-20 17:57,"Reached the clinic. Doctor is running late, so don't leave yet. I'll call when they give the next slot.",,,0,"reached the clinic. doctor is running late, so don't leave yet. i'll call when they give the next slot.",1,1,2,0,0,0,notify,reached the clinic doctor is running late so don t leave yet i ll call when they give the next slot,22:00-07:00,45,8,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.357142857142857,1.0,leak-e72446d967b90593
message_0003,u_010,group,group_004,,u_046,2026-03-31 07:17,@u_010 can you join 4 PM prod review? Need failed-payment count + retry backlog before client mail.,,,0,@u_010 can you join 4 pm prod review? need failed-payment count + retry backlog before client mail.,1,1,2,0,0,0,notify,u_010 can you join <num> pm prod review need failed payment count retry backlog before client mail,22:30-07:30,44,7,59,0,coworker,member,2025-08-20,8,8,2,1,0,,,,,,,,,,,,,,,,,,,,,7.785714285714286,2.7857142857142856,leak-8b90701149209ce2
message_0219,u_029,group,group_004,,u_046,2026-04-15 07:57,"Can you check the onboarding doc tomorrow morning? Nothing urgent, just want your comments before lunch.",,,0,"can you check the onboarding doc tomorrow morning? nothing urgent, just want your comments before lunch.",1,0,120,0,0,0,digest,can you check the onboarding doc tomorrow morning nothing urgent just want your comments before lunch,22:00-08:30,83,22,59,1,coworker,member,2025-05-15,7,11,1,1,0,,,,,,,,,,,,,,,,,,,,,11.0,4.214285714285714,leak-461d3c7eb288c401
message_0392,u_021,group,group_022,,u_052,2026-03-06 17:12,,voice,vn_014,0,,1,0,120,0,0,0,digest,,22:00-07:00,57,12,10,2,real_estate,admin,2024-06-25,9,9,3,0,0,,,,,,,,,,,,,,,,,,,,,3.642857142857143,0.7142857142857143,leak-4c07b23131da7132
